text,label
"I love you, how but you? @Taecyeon2pm8 did you feel the same? Emm I think not :(",negative
@mayusushita @dildeewana_ @sonalp2591 @deepti_ahmd @armansushita8 Thanks Guys :),positive
"Your love, O Lord, is better than life. :) &lt;3 https://t.co/KPCeYJqKLM",positive
@yasminyasir96 yeah but it will be better if we use her official Account :) Like The Other @PracchiNDesai ❤️,positive
Ok good night I wish troye wasn't ugly and I met him today:)():)!:!; but ok today was fun I'm excited for tmrw!!,positive
"@scottybev I'm not surprised, that sounds hellish! Why would you do such a thing? :(",negative
"Dry, hot, scorching summer #FF :) @infocffm @MediationMK @ExeterMediation @KentFMS @EssexMediation",positive
@hanbined sad pray for me :(((,negative
Popol day too :(,negative
My Song of the Week is Ducktails - Surreal Exposure #SOTW https://t.co/BeXVWh7zIR Jingly jangly loveliness! :-),positive
I have no interest in speaking to you ever again. :-),positive
@caylahhhh lmfao seriously??? I can't remember if I did honestly..more likely tho :((,negative
Should have taken a pic before mrs wong confiscated my art work :(,negative
@Shrimp_89 @KianEganWL Aarww...I wish I could be there too :( xx,negative
"@theprincesszooz But I see what you're going at. :) Yes. Subjective pain may not be real, but that does not make it less painful.",positive
I genuinely keep having nightmares about results day Fam :(((((((((,negative
@TurnUpTexas I really dont I love you so much :),positive
I hit my thumb :(.,negative
@chrisisk @uberuk nothing in Shepherds Bush either :( I want ice cream,negative
"@zupiapre Unfortunately, yes :( why?",negative
"@esp__132 oh really :( i saw a few gif posts and some had seen really happy about it, but maybe it's people who'd be happy with any naruhina",negative
"@dylanobrien @MazeRunnerMovie IT IS JUST BEYOND WORDS, sooooooo freaking good! I'm going to die before it comes out!! :D",positive
Family hang out :) ^_^ — feeling festive at Jamuna Future Park http://t.co/CXQXINIqJI,positive
@dearestdaryl @hjoldr cream pinay pie soup :(,negative
@CelestialTea is my favorite tea :),positive
@Oduun_ lmao :( most natural hair I've seen is ugly I swear,negative
"@rosehut1 Thanks for your RTs Rose, much appreciated. :)",positive
i keep changing between fe14 icons i dont know which one to pick &gt;:(,negative
@Slay__N I need answers :(,negative
@jairaabells I won't be around tom. :(,negative
@ScreamQueenLR That's fair enough :) I wouldn't rush back either.,positive
"@donnaledesma_ from PHL to Abu Dhabi, with love and blessing hihihi. :) #TeamJanuaryCLaims100 #GoDonna http://t.co/ayIMB6aITD",positive
@lvshak @AllysonMarty anytime :),positive
@BLACKTOGXLD my pleasure :D enjoy your day!!,positive
@RMBLees @dicehateme can't get them anywhere now. :-(,negative
"Photo: randy9bis: Beautiful physique, shaved, uncut, and a tattoo: sexy boi !  :-) http://t.co/XcWxo5jVVY",positive
I just stepped in a puddle :-( &amp; I'm wearing slippers!!,negative
@SoggyStones should be online :),positive
@kolydka :))))) ty mne pro pchelok a ja.... :))) Thanks!,positive
Looking for fun? SNAPCHAT - luceleva21 #snapchat #kikgirl #porno #nudes #omegle #countrymusic #sexysasunday :( http://t.co/T8pqZuLaEx,negative
@ellierowexo :((( &amp; I'm litro gonna be on my own that weekend,negative
@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positive
@Hooked_Duck that sounds cool!! Bet it doesn't float though :(,negative
@OfficialKeanu..Awesome! :),positive
@Wolf_Stack yeah by the looks of it :(,negative
@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D,positive
@The_Quirk  and you would have to email me on (Donnae.Strydom@westerncape.gov.za) -  :-) ta --- @helenzille,positive
@cumminiall me too :)),positive
Amin :) https://t.co/1FOMQssXzk,positive
Goodafternoon :)) Gudday~,positive
Mirror selfie :) http://t.co/VFGM3FSH2c,positive
I had a dream i went to college and failed as an animator :( :( :(:'(,negative
@fczbkk Exactly! :D,positive
"@WforWoman 
9) shopping will be like fries without ketchup. Tasteless :(

#WSaleLove",negative
5SOS Calum5SOS Luke5SOS Ashton5SOS Hey guys! PLEASE follow ✧｡ Chelny ｡✧ :),positive
youngjae is getting more handsome im :(((,negative
@TarekTamo @NourH92 hahahahaha law I can make it happen I would do it in a heartbeat :D,positive
i slept all day and now i can't sleep :(,negative
"@lovingjeonboram I really like their interaction. How Sunny offers her help to her dongsaeng, Chorong. And the friendship among idols. :)",positive
@MegAnDrewsGlobe @outboundapp thanks for sharing! Enjoy the app! Wishing you a wicked weekend :),positive
"Gamer Follow Train!
Follow Me
Retweet this
Follow all who retweeted
Gain active followers :) 120",positive
@Uber How do we get our free Cornettos? We can't figure it out :-( x,negative
30 minutes and counting just to pass through the EDSA AYALA tunnel... And am still not completely out. :(,negative
"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",positive
SCREAMING happy bday to my fav boy in the whole wide world!! 🌎🌎❤️❤️❤️ I love you!! :) @ the big 18 😧 https://t.co/SYqtgaq21I,positive
@LeagueOfKnockup Dang it! :( Pon thought the time had finally come! OTL,negative
"...... and we have a special offer on this ! RRP £18.99, our price £13.99.....:)",positive
@QPSmedia how awful :(,negative
@thenomimo Sorry for the delay Naomi :(,negative
http://t.co/36Wal3Tkwc thanks for following!! Enjoy my tweets! :) lets be friends! Ambre Suzan 268 4,positive
"#Discrimination :-( Maternity discrimination: When I needed my boss, he kicked me in teeth - ... http://t.co/2WT4YyMNWz #UniteBlue #Tcot",negative
@jonathanhobbs71 Have you encouraged your employer on board (http://t.co/sczAWaxEW0) or stuck a poster up (http://t.co/J024E6Dwvk)? :),positive
@DirtyJasen I shall do :D I shall shout it from the roof tops of social media :p,positive
@EricJLyman @USATODAY @Peirce77 @shawshanck @BicyclistAbroad Thanks Eric for the mention. ou may not have wanted to do that considering.. :),positive
Kebun is an adorable spot in Ubud! Waiting for the #ladyposse  :) no better place for it! Xoxoxo https://t.co/dfkZkrKiZz,positive
@selenagcyrus babe?:(,negative
"@mRpOrTeR7 ""This Corner"" is so fucking Dope!! Getting addicted to it..
Great Job :D",positive
I miss him :(,negative
Oh how horrific :( https://t.co/IObpbythB8,negative
@kentonchristina Lol! Big is beautiful and that applies to sunglasses too. Jackie O sunnies never go out of style :))),positive
Nakakapikon yung nagbabasa ka ng blog comments for info and it's full of people asking the same damned questions answered in the post. :(,negative
@hesfallenangel could i get some free solo  dms? Any to give away? :) xoxo,positive
@therp_stefan @Therp_BV will cost you 600 k£ to get security alerts on odoo 8 if you are an Odoo partner. Far from community spirit. :-(,negative
"Hi Emily I'm your fan,I wish you much happiness in your life,you're funny and beautiful
Happy Birthday :D @EmilyBett http://t.co/6wEXgsv7de",positive
"The last dick pic I got was awful. It ruined walnut whips for me for life :-( 

I also named him and it turned out his wife followed me.",negative
@thatchamdad very cute! She looks fabulous :),positive
"@vtothepowerof2 you're actually going?!? :D yayayayay
It's gonna be my first YT convention too &lt;3",positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x9",positive
@realyys_ OTL NEVERMIND :( at least i got jeon so,negative
"@RFarghaly123 FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",negative
My body system don't want to accept those foods :(,negative
harumph it's all soggy here :( was hoping to go do some more weeding,negative
"@AlexaBailon ""let's go to a party....in our pants "" ew :( gross",negative
@ParentingWT It's great that we have that as a very viable alternative nowadays. :),positive
Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @norman20015949,positive
"@intentionshigh I'm looking for influencers for my app :) If you're interested, here's your invite http://t.co/rZgZtQ2fJT",positive
i want this in my room :-( http://t.co/alpqbVixcP,negative
Omg happy late birthday @mariahjoyyy I'm so sorry I missed it :( love you though hope you had a lot of fun 😘🎉,negative
"wow i miss my long hair , my braces , &amp; softball :( http://t.co/XysuSB0fxK",negative
This taxi is emptier than Ciara's concert :(,negative
Achieving excellence in Music as a Music Producer is a Mind Boggling &amp; Fatiguing Job... Baareeq... :) :) :),positive
Good Lord. :( https://t.co/nC9LkYUUvO,negative
@SocialRMadrid its 12pm here :),positive
i miss them :(,negative
"guys stop please :(

#ZaynIsComingBackOnJuly26 http://t.co/4gbLRYagWh",negative
@crinklysmilelou thank you! :D,positive
@The_Witty_SRK @DeewaniVeronica Counted it too :p 28* Bnte hain ;p,positive
"@dargurl_serwiee Ok rich kid, I give up :(",negative
When school comes between me and twitter :(,negative
@medinitalopez I will ^^ thanks bae :),positive
@EdeLabayog awww :(( kaya yan! Think positive!,negative
@wonwoolipseu :((((((((((((((((( iTS OK!!,negative
"@HumayAG 'Stuck in the centre right with you. Clowns to the right, jokers to the left...' :) @orgasticpotency @ahmedshaheed @AhmedSaeedGahaa",positive
Thanks for the follows @rosbailey2_ros @CircuitElec :),positive
why can't i go to sleep at a normal time :(,negative
drama korea 49 days.:),positive
"@Mandi_Tinker yes, very inconsiderate of them. :(",negative
